Soil Type,Moisture Content (%),Wilting Point (%),Recommended Fertilizers
Silty Clay,37.25,31.24,"Micro-Nutrients, Potash"
Sand,8.75,2.0,"Nitrogen, Potassium"
Silt Loam,25.56,24.33,"Phosphorus, Nitrogen, Potash"
Loam,25.19,16.98,"Compost, Nitrogen, Phosphorus"
Silt Loam,29.66,16.77,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,38.22,22.47,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,18.24,11.57,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,17.54,6.02,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,34.49,30.24,"DAP (Diammonium Phosphate), Nitrogen"
Sand,14.52,2.49,"Nitrogen, Potassium"
Loamy Sand,12.53,7.46,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,32.04,29.07,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,33.13,20.46,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,34.3,28.72,"DAP (Diammonium Phosphate), Nitrogen"
Clay,30.41,36.56,"Urea, Potassium, Nitrogen"
Silty Clay Loam,32.13,27.88,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,36.9,31.79,"Micro-Nutrients, Potash"
Silty Clay,32.06,33.78,"Micro-Nutrients, Potash"
Clay Loam,33.74,32.81,"Nitrogen, Potassium, Phosphorus"
Silty Clay,34.42,39.36,"Micro-Nutrients, Potash"
Loamy Sand,10.61,7.67,"Organic Fertilizer, Nitrogen"
Clay,27.13,43.21,"Urea, Potassium, Nitrogen"
Clay Loam,31.69,34.36,"Nitrogen, Potassium, Phosphorus"
Clay,34.78,37.95,"Urea, Potassium, Nitrogen"
Loam,21.0,19.01,"Compost, Nitrogen, Phosphorus"
Loam,23.73,16.75,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,34.66,27.8,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,38.4,26.1,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,32.18,31.18,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,26.87,15.5,"Phosphorus, Nitrogen, Potash"
Loam,28.16,18.27,"Compost, Nitrogen, Phosphorus"
Sand,9.41,7.28,"Nitrogen, Potassium"
Loamy Sand,12.85,6.16,"Organic Fertilizer, Nitrogen"
Clay,25.95,42.13,"Urea, Potassium, Nitrogen"
Clay Loam,32.31,26.7,"Nitrogen, Potassium, Phosphorus"
Sand,14.4,7.93,"Nitrogen, Potassium"
Silty Clay,33.39,39.33,"Micro-Nutrients, Potash"
Silt Loam,27.15,20.66,"Phosphorus, Nitrogen, Potash"
Loamy Sand,19.9,7.15,"Organic Fertilizer, Nitrogen"
Loamy Sand,15.11,9.24,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,32.24,31.85,"DAP (Diammonium Phosphate), Nitrogen"
Clay,30.63,46.01,"Urea, Potassium, Nitrogen"
Silty Clay,37.7,33.77,"Micro-Nutrients, Potash"
Clay,34.62,46.64,"Urea, Potassium, Nitrogen"
Silty Clay Loam,32.59,29.88,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,20.23,14.4,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,26.52,27.99,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,23.22,13.12,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,19.19,5.96,"Organic Fertilizer, Nitrogen"
Sandy Loam,19.35,12.54,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,14.34,8.96,"Organic Fertilizer, Nitrogen"
Clay Loam,30.61,26.58,"Nitrogen, Potassium, Phosphorus"
Clay Loam,36.94,26.71,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,17.9,9.07,"Organic Fertilizer, Nitrogen"
Silt Loam,28.26,19.94,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,32.35,32.24,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,37.27,35.25,"Micro-Nutrients, Potash"
Silty Clay Loam,38.47,20.5,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,26.96,34.17,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,29.56,32.15,"DAP (Diammonium Phosphate), Nitrogen"
Sand,14.46,4.47,"Nitrogen, Potassium"
Sand,12.6,3.1,"Nitrogen, Potassium"
Sand,11.02,3.96,"Nitrogen, Potassium"
Sandy Loam,21.06,14.38,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,29.51,28.73,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,33.24,27.18,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,37.55,33.12,"Micro-Nutrients, Potash"
Silt Loam,26.06,24.46,"Phosphorus, Nitrogen, Potash"
Silt Loam,31.3,24.09,"Phosphorus, Nitrogen, Potash"
Clay Loam,32.05,32.58,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,37.97,26.67,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,35.22,33.28,"Micro-Nutrients, Potash"
Silt Loam,32.01,17.7,"Phosphorus, Nitrogen, Potash"
Clay Loam,34.04,29.08,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,15.88,8.04,"Organic Fertilizer, Nitrogen"
Silty Clay,36.41,38.31,"Micro-Nutrients, Potash"
Loamy Sand,18.26,6.3,"Organic Fertilizer, Nitrogen"
Loam,25.99,18.43,"Compost, Nitrogen, Phosphorus"
Silty Clay,35.21,30.25,"Micro-Nutrients, Potash"
Silty Clay Loam,37.89,25.87,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,31.43,33.12,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,24.32,13.75,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,30.26,31.87,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,19.28,9.85,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,25.81,34.24,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,21.62,14.45,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,30.27,18.26,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,38.02,28.83,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,37.4,28.41,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,32.76,32.79,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,28.26,18.23,"Phosphorus, Nitrogen, Potash"
Clay Loam,33.23,32.74,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,23.1,10.6,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,35.67,27.59,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,22.88,14.55,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,29.74,28.01,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,37.37,27.92,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,26.35,34.95,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,33.14,36.79,"Micro-Nutrients, Potash"
Silty Clay,38.46,36.4,"Micro-Nutrients, Potash"
Clay,32.62,37.05,"Urea, Potassium, Nitrogen"
Clay Loam,38.9,29.37,"Nitrogen, Potassium, Phosphorus"
Silt Loam,27.46,22.35,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,26.65,32.23,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,34.44,30.02,"DAP (Diammonium Phosphate), Nitrogen"
Loam,26.11,13.45,"Compost, Nitrogen, Phosphorus"
Loamy Sand,18.04,8.19,"Organic Fertilizer, Nitrogen"
Silty Clay,37.94,34.55,"Micro-Nutrients, Potash"
Sand,7.86,7.92,"Nitrogen, Potassium"
Silty Clay,35.79,33.34,"Micro-Nutrients, Potash"
Clay Loam,34.6,28.21,"Nitrogen, Potassium, Phosphorus"
Sand,8.32,6.9,"Nitrogen, Potassium"
Silty Clay,37.18,30.21,"Micro-Nutrients, Potash"
Clay Loam,33.83,27.25,"Nitrogen, Potassium, Phosphorus"
Clay Loam,37.72,31.78,"Nitrogen, Potassium, Phosphorus"
Clay Loam,35.1,30.58,"Nitrogen, Potassium, Phosphorus"
Loam,29.1,18.26,"Compost, Nitrogen, Phosphorus"
Sandy Loam,17.26,14.31,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,33.22,36.84,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,30.86,25.07,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,27.22,22.97,"Phosphorus, Nitrogen, Potash"
Clay Loam,38.08,27.19,"Nitrogen, Potassium, Phosphorus"
Sand,10.19,7.06,"Nitrogen, Potassium"
Silty Clay,36.25,38.35,"Micro-Nutrients, Potash"
Loam,22.03,15.87,"Compost, Nitrogen, Phosphorus"
Loam,23.36,17.47,"Compost, Nitrogen, Phosphorus"
Sandy Loam,18.08,10.1,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,30.34,20.79,"Phosphorus, Nitrogen, Potash"
Sand,6.59,6.65,"Nitrogen, Potassium"
Silt Loam,32.57,16.31,"Phosphorus, Nitrogen, Potash"
Clay,25.82,35.21,"Urea, Potassium, Nitrogen"
Loam,28.8,15.46,"Compost, Nitrogen, Phosphorus"
Sand,6.66,5.09,"Nitrogen, Potassium"
Loamy Sand,13.12,7.51,"Organic Fertilizer, Nitrogen"
Sandy Loam,19.53,12.71,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,12.86,3.66,"Nitrogen, Potassium"
Loam,29.05,16.78,"Compost, Nitrogen, Phosphorus"
Clay,26.41,48.04,"Urea, Potassium, Nitrogen"
Clay,32.27,39.98,"Urea, Potassium, Nitrogen"
Silt Loam,32.36,18.43,"Phosphorus, Nitrogen, Potash"
Silt Loam,31.95,16.4,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,31.41,30.73,"DAP (Diammonium Phosphate), Nitrogen"
Sand,9.44,4.35,"Nitrogen, Potassium"
Silty Clay Loam,34.24,28.48,"Potash, Nitrogen, Micro-Nutrients"
Loam,28.42,14.18,"Compost, Nitrogen, Phosphorus"
Silt Loam,29.98,17.81,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,32.04,27.38,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,26.99,34.82,"DAP (Diammonium Phosphate), Nitrogen"
Loam,22.24,17.86,"Compost, Nitrogen, Phosphorus"
Clay,30.09,37.7,"Urea, Potassium, Nitrogen"
Silt Loam,32.57,18.46,"Phosphorus, Nitrogen, Potash"
Loamy Sand,15.89,6.68,"Organic Fertilizer, Nitrogen"
Clay,33.95,44.15,"Urea, Potassium, Nitrogen"
Silty Clay Loam,38.62,25.51,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,33.48,25.35,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,33.32,24.75,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,29.81,15.15,"Phosphorus, Nitrogen, Potash"
Silty Clay,31.56,36.13,"Micro-Nutrients, Potash"
Silt Loam,27.68,16.99,"Phosphorus, Nitrogen, Potash"
Sandy Loam,15.64,10.76,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,24.34,13.44,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,33.01,29.0,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,16.42,9.03,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,34.2,27.86,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,35.24,20.02,"Potash, Nitrogen, Micro-Nutrients"
Loam,21.3,17.27,"Compost, Nitrogen, Phosphorus"
Silty Clay,30.66,30.07,"Micro-Nutrients, Potash"
Loamy Sand,14.54,9.84,"Organic Fertilizer, Nitrogen"
Silt Loam,31.66,20.19,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,34.87,22.66,"Potash, Nitrogen, Micro-Nutrients"
Loam,25.58,16.06,"Compost, Nitrogen, Phosphorus"
Silt Loam,29.19,20.91,"Phosphorus, Nitrogen, Potash"
Loamy Sand,19.91,9.09,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,25.85,28.87,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,18.1,5.17,"Organic Fertilizer, Nitrogen"
Clay,30.73,39.35,"Urea, Potassium, Nitrogen"
Clay Loam,38.7,28.71,"Nitrogen, Potassium, Phosphorus"
Silty Clay,31.09,36.46,"Micro-Nutrients, Potash"
Loamy Sand,15.43,7.6,"Organic Fertilizer, Nitrogen"
Silty Clay,32.97,38.53,"Micro-Nutrients, Potash"
Loam,24.65,15.16,"Compost, Nitrogen, Phosphorus"
Loam,29.29,13.35,"Compost, Nitrogen, Phosphorus"
Sand,10.54,6.18,"Nitrogen, Potassium"
Loamy Sand,16.93,7.87,"Organic Fertilizer, Nitrogen"
Loam,22.83,14.93,"Compost, Nitrogen, Phosphorus"
Loamy Sand,14.33,8.64,"Organic Fertilizer, Nitrogen"
Silty Clay,39.98,34.36,"Micro-Nutrients, Potash"
Loamy Sand,11.45,9.91,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,27.1,25.66,"DAP (Diammonium Phosphate), Nitrogen"
Loam,23.08,16.81,"Compost, Nitrogen, Phosphorus"
Clay,31.77,36.96,"Urea, Potassium, Nitrogen"
Silty Clay Loam,37.69,25.39,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,30.34,34.88,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,34.52,30.17,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,10.88,9.65,"Organic Fertilizer, Nitrogen"
Silt Loam,34.95,19.91,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,37.92,20.68,"Potash, Nitrogen, Micro-Nutrients"
Clay,29.07,49.38,"Urea, Potassium, Nitrogen"
Sand,11.9,4.68,"Nitrogen, Potassium"
Clay Loam,30.08,29.95,"Nitrogen, Potassium, Phosphorus"
Clay,32.55,37.26,"Urea, Potassium, Nitrogen"
Sandy Loam,24.0,10.83,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,17.33,6.35,"Organic Fertilizer, Nitrogen"
Sandy Loam,19.0,13.48,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,38.11,26.47,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,37.05,21.02,"Potash, Nitrogen, Micro-Nutrients"
Clay,33.53,43.74,"Urea, Potassium, Nitrogen"
Loam,28.15,13.15,"Compost, Nitrogen, Phosphorus"
Clay,34.6,45.07,"Urea, Potassium, Nitrogen"
Sandy Loam,20.91,11.3,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,27.25,43.64,"Urea, Potassium, Nitrogen"
Silty Clay Loam,31.16,24.81,"Potash, Nitrogen, Micro-Nutrients"
Sand,12.91,6.67,"Nitrogen, Potassium"
Sandy Clay Loam,28.93,27.78,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,17.61,6.78,"Organic Fertilizer, Nitrogen"
Clay,25.74,45.55,"Urea, Potassium, Nitrogen"
Silt Loam,30.59,24.68,"Phosphorus, Nitrogen, Potash"
Loamy Sand,12.22,9.11,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,37.84,24.01,"Potash, Nitrogen, Micro-Nutrients"
Sand,5.97,4.16,"Nitrogen, Potassium"
Sandy Loam,15.26,14.75,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,15.1,8.11,"Organic Fertilizer, Nitrogen"
Silt Loam,30.78,15.67,"Phosphorus, Nitrogen, Potash"
Clay Loam,31.38,33.91,"Nitrogen, Potassium, Phosphorus"
Silt Loam,34.54,15.89,"Phosphorus, Nitrogen, Potash"
Sandy Loam,21.63,13.59,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,20.16,12.42,"Compost, Nitrogen, Phosphorus"
Sand,12.31,1.69,"Nitrogen, Potassium"
Clay Loam,37.08,28.04,"Nitrogen, Potassium, Phosphorus"
Clay Loam,34.58,33.87,"Nitrogen, Potassium, Phosphorus"
Clay,27.71,43.73,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,32.4,33.7,"DAP (Diammonium Phosphate), Nitrogen"
Clay,30.36,39.95,"Urea, Potassium, Nitrogen"
Sandy Loam,15.4,12.81,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,11.0,5.36,"Nitrogen, Potassium"
Sandy Clay Loam,34.47,30.48,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,20.78,13.39,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,33.68,30.4,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,35.39,27.57,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,38.21,29.0,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,10.36,6.76,"Organic Fertilizer, Nitrogen"
Sandy Loam,21.16,14.51,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,7.38,7.87,"Nitrogen, Potassium"
Sandy Loam,20.98,14.95,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,35.81,30.04,"Micro-Nutrients, Potash"
Sandy Loam,20.61,14.17,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,33.12,49.27,"Urea, Potassium, Nitrogen"
Sandy Loam,23.23,12.63,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,11.69,8.45,"Organic Fertilizer, Nitrogen"
Clay,27.84,49.01,"Urea, Potassium, Nitrogen"
Silty Clay,39.06,31.87,"Micro-Nutrients, Potash"
Clay Loam,30.45,28.49,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,31.46,26.02,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,24.46,14.63,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,34.59,26.77,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,31.19,38.3,"Micro-Nutrients, Potash"
Loamy Sand,18.1,5.97,"Organic Fertilizer, Nitrogen"
Silt Loam,28.91,19.11,"Phosphorus, Nitrogen, Potash"
Loamy Sand,14.61,6.73,"Organic Fertilizer, Nitrogen"
Clay Loam,33.66,27.49,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,35.77,25.21,"Potash, Nitrogen, Micro-Nutrients"
Loam,22.75,16.44,"Compost, Nitrogen, Phosphorus"
Silt Loam,29.23,16.3,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,31.39,25.09,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,32.06,30.48,"DAP (Diammonium Phosphate), Nitrogen"
Clay,27.76,39.58,"Urea, Potassium, Nitrogen"
Silty Clay,35.6,30.11,"Micro-Nutrients, Potash"
Sand,12.9,1.57,"Nitrogen, Potassium"
Loam,26.87,17.68,"Compost, Nitrogen, Phosphorus"
Loamy Sand,16.42,8.08,"Organic Fertilizer, Nitrogen"
Sandy Loam,20.47,14.21,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,29.32,22.09,"Phosphorus, Nitrogen, Potash"
Clay,32.55,41.16,"Urea, Potassium, Nitrogen"
Silt Loam,34.35,21.11,"Phosphorus, Nitrogen, Potash"
Silt Loam,28.38,22.38,"Phosphorus, Nitrogen, Potash"
Clay,31.3,43.11,"Urea, Potassium, Nitrogen"
Clay Loam,34.86,33.62,"Nitrogen, Potassium, Phosphorus"
Sand,5.73,4.74,"Nitrogen, Potassium"
Sandy Clay Loam,30.51,25.92,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,32.55,26.57,"Nitrogen, Potassium, Phosphorus"
Clay Loam,38.56,34.69,"Nitrogen, Potassium, Phosphorus"
Sand,13.86,1.48,"Nitrogen, Potassium"
Sandy Clay Loam,25.23,32.06,"DAP (Diammonium Phosphate), Nitrogen"
Loam,22.88,19.17,"Compost, Nitrogen, Phosphorus"
Silt Loam,25.96,20.24,"Phosphorus, Nitrogen, Potash"
Silty Clay,37.95,39.45,"Micro-Nutrients, Potash"
Clay,33.81,35.33,"Urea, Potassium, Nitrogen"
Sand,14.3,3.67,"Nitrogen, Potassium"
Sandy Loam,18.73,10.18,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,30.78,36.03,"Urea, Potassium, Nitrogen"
Sand,10.55,2.73,"Nitrogen, Potassium"
Loamy Sand,12.88,5.3,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,39.42,20.53,"Potash, Nitrogen, Micro-Nutrients"
Loam,25.36,19.34,"Compost, Nitrogen, Phosphorus"
Loamy Sand,14.26,7.37,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,31.5,23.04,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,39.43,38.14,"Micro-Nutrients, Potash"
Clay,33.38,45.7,"Urea, Potassium, Nitrogen"
Clay,34.8,44.0,"Urea, Potassium, Nitrogen"
Silty Clay Loam,33.96,28.86,"Potash, Nitrogen, Micro-Nutrients"
Loam,21.79,15.71,"Compost, Nitrogen, Phosphorus"
Sand,14.51,1.61,"Nitrogen, Potassium"
Silty Clay Loam,37.25,26.69,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,31.69,39.57,"Micro-Nutrients, Potash"
Clay,30.84,47.99,"Urea, Potassium, Nitrogen"
Silty Clay,32.08,36.75,"Micro-Nutrients, Potash"
Silty Clay,30.72,34.54,"Micro-Nutrients, Potash"
Sandy Clay Loam,29.73,32.3,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,33.34,33.93,"Micro-Nutrients, Potash"
Loam,28.91,15.07,"Compost, Nitrogen, Phosphorus"
Loamy Sand,17.0,7.81,"Organic Fertilizer, Nitrogen"
Loamy Sand,10.94,7.83,"Organic Fertilizer, Nitrogen"
Loam,20.25,14.23,"Compost, Nitrogen, Phosphorus"
Clay,32.38,45.48,"Urea, Potassium, Nitrogen"
Silt Loam,27.59,18.58,"Phosphorus, Nitrogen, Potash"
Sand,11.95,7.62,"Nitrogen, Potassium"
Loam,25.6,19.68,"Compost, Nitrogen, Phosphorus"
Loam,23.65,17.95,"Compost, Nitrogen, Phosphorus"
Silty Clay,30.81,36.12,"Micro-Nutrients, Potash"
Silt Loam,28.69,20.63,"Phosphorus, Nitrogen, Potash"
Sandy Loam,19.69,14.99,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,39.77,30.73,"Micro-Nutrients, Potash"
Sand,5.47,7.7,"Nitrogen, Potassium"
Silt Loam,27.05,20.77,"Phosphorus, Nitrogen, Potash"
Clay,30.14,38.14,"Urea, Potassium, Nitrogen"
Loamy Sand,11.27,9.11,"Organic Fertilizer, Nitrogen"
Sand,7.61,2.61,"Nitrogen, Potassium"
Loam,29.64,18.35,"Compost, Nitrogen, Phosphorus"
Clay Loam,37.28,32.44,"Nitrogen, Potassium, Phosphorus"
Sand,12.47,7.51,"Nitrogen, Potassium"
Silty Clay,39.04,35.19,"Micro-Nutrients, Potash"
Loamy Sand,19.68,9.96,"Organic Fertilizer, Nitrogen"
Loamy Sand,15.33,6.27,"Organic Fertilizer, Nitrogen"
Silty Clay,35.8,30.57,"Micro-Nutrients, Potash"
Clay Loam,37.74,33.97,"Nitrogen, Potassium, Phosphorus"
Silt Loam,29.86,16.96,"Phosphorus, Nitrogen, Potash"
Silty Clay,33.56,38.24,"Micro-Nutrients, Potash"
Silt Loam,27.48,21.74,"Phosphorus, Nitrogen, Potash"
Silty Clay,30.32,35.81,"Micro-Nutrients, Potash"
Silty Clay Loam,34.93,24.02,"Potash, Nitrogen, Micro-Nutrients"
Loam,29.47,12.94,"Compost, Nitrogen, Phosphorus"
Sandy Loam,18.88,12.33,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,21.81,10.81,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,31.26,34.25,"Micro-Nutrients, Potash"
Loamy Sand,16.58,8.7,"Organic Fertilizer, Nitrogen"
Sandy Loam,20.58,13.74,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,10.51,6.98,"Nitrogen, Potassium"
Silty Clay,36.63,30.32,"Micro-Nutrients, Potash"
Sandy Clay Loam,28.35,31.05,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,32.67,20.77,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,38.22,30.65,"Micro-Nutrients, Potash"
Sandy Clay Loam,27.82,26.34,"DAP (Diammonium Phosphate), Nitrogen"
Clay,32.94,37.97,"Urea, Potassium, Nitrogen"
Clay Loam,32.25,29.8,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,19.74,11.63,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,34.43,24.42,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,19.45,9.55,"Organic Fertilizer, Nitrogen"
Sandy Loam,22.5,12.98,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,25.24,17.96,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,34.69,23.07,"Potash, Nitrogen, Micro-Nutrients"
Sand,13.17,6.32,"Nitrogen, Potassium"
Loam,27.54,17.41,"Compost, Nitrogen, Phosphorus"
Clay Loam,39.87,26.17,"Nitrogen, Potassium, Phosphorus"
Sand,6.15,2.8,"Nitrogen, Potassium"
Silt Loam,27.96,18.47,"Phosphorus, Nitrogen, Potash"
Sand,11.38,5.68,"Nitrogen, Potassium"
Sandy Clay Loam,26.72,28.05,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,13.99,5.11,"Organic Fertilizer, Nitrogen"
Clay,30.79,40.89,"Urea, Potassium, Nitrogen"
Clay,27.04,38.14,"Urea, Potassium, Nitrogen"
Loamy Sand,18.04,7.95,"Organic Fertilizer, Nitrogen"
Silt Loam,28.65,15.83,"Phosphorus, Nitrogen, Potash"
Silty Clay,37.31,33.65,"Micro-Nutrients, Potash"
Silty Clay,30.39,39.86,"Micro-Nutrients, Potash"
Sandy Loam,24.87,12.76,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,37.8,23.96,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,10.27,5.0,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,28.27,25.37,"DAP (Diammonium Phosphate), Nitrogen"
Clay,27.05,36.11,"Urea, Potassium, Nitrogen"
Loam,29.48,16.22,"Compost, Nitrogen, Phosphorus"
Sandy Loam,19.05,10.05,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,29.4,45.35,"Urea, Potassium, Nitrogen"
Silty Clay,36.59,30.84,"Micro-Nutrients, Potash"
Silt Loam,32.95,23.1,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,27.6,29.55,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,28.73,18.19,"Phosphorus, Nitrogen, Potash"
Silt Loam,34.39,19.48,"Phosphorus, Nitrogen, Potash"
Clay Loam,30.33,25.52,"Nitrogen, Potassium, Phosphorus"
Clay,34.04,37.65,"Urea, Potassium, Nitrogen"
Loamy Sand,10.53,6.32,"Organic Fertilizer, Nitrogen"
Loam,21.51,14.68,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,30.74,34.28,"DAP (Diammonium Phosphate), Nitrogen"
Sand,10.15,6.07,"Nitrogen, Potassium"
Sand,7.87,1.89,"Nitrogen, Potassium"
Loam,21.95,12.85,"Compost, Nitrogen, Phosphorus"
